iter	RMSE	R2
0	0.9559645308	0.2049403907
1	0.8552510405	0.3636392931
2	0.7695024585	0.484847091
3	0.6961033101	0.578435986
4	0.6356211916	0.6485100844
5	0.5839520698	0.7033321137
6	0.5397251658	0.7465679889
7	0.5011116883	0.7815333252
8	0.4682380251	0.8092566122
9	0.440278373	0.8313560216
10	0.41715273	0.8486068193
11	0.3970377193	0.8628550981
12	0.3809216989	0.8737627403
13	0.3665506578	0.8831081749
14	0.3545302152	0.8906490295
15	0.344812778	0.8965613519
16	0.3365666197	0.90144964
17	0.3290721347	0.9057897079
18	0.3224625395	0.909536232
19	0.3170143707	0.9125672713
20	0.3123654307	0.9151128285
21	0.3078389364	0.9175552068
22	0.3036495633	0.9197839163
23	0.2997520798	0.9218299223
24	0.2964578883	0.923538616
25	0.2936428922	0.9249837899
26	0.2909768639	0.9263397734
27	0.2888590678	0.9274081033
28	0.2862405208	0.9287182489
29	0.283846494	0.9299056195
30	0.2817461189	0.9309391344
31	0.2798980833	0.9318421343
32	0.2783198516	0.9326085965
33	0.2762130148	0.933625019
34	0.2746966053	0.9343518158
35	0.2733980704	0.9349710078
36	0.2722149235	0.9355326239
37	0.2708629688	0.9361713878
38	0.2695688517	0.9367798458
39	0.2685990236	0.937233922
40	0.267577553	0.9377104076
41	0.26640689	0.9382542545
42	0.2655541899	0.9386488865
43	0.2644688994	0.9391493322
44	0.2633842522	0.9396474335
45	0.2622329012	0.9401739275
46	0.2613101468	0.940594223
47	0.2604765943	0.9409726151
48	0.2598228528	0.941268536
49	0.2590008984	0.9416395443
50	0.258145737	0.9420242937
51	0.2573088611	0.9423995842
52	0.2566391984	0.9426990116
53	0.2559248461	0.9430175609
54	0.2554334632	0.9432361666
55	0.2549841015	0.9434357102
56	0.2542408929	0.9437649684
57	0.2536206345	0.9440390211
58	0.2529039046	0.9443548648
59	0.2520609253	0.9447251993
60	0.251487067	0.9449765972
61	0.2507944885	0.9452792414
62	0.2502371642	0.945522176
63	0.2496968785	0.9457571675
64	0.2491397837	0.9459989382
65	0.2486304092	0.9462195264
66	0.2483018497	0.9463615718
67	0.2476038137	0.9466627289
68	0.2471342504	0.9468648378
69	0.2464868893	0.9471428453
70	0.2460549005	0.9473279561
71	0.2455942435	0.9475249937
72	0.245189347	0.9476978759
73	0.244807093	0.9478608284
74	0.244129985	0.9481488513
75	0.2437570814	0.9483071335
76	0.243230708	0.9485301455
77	0.2428337822	0.9486979947
78	0.2422741011	0.948934203
79	0.2418654956	0.9491063069
80	0.2415294691	0.9492476231
81	0.2410722742	0.9494395812
82	0.2406934878	0.9495983431
83	0.2403812319	0.9497290322
84	0.2399820758	0.9498958448
85	0.2395355707	0.9500821166
86	0.2391812087	0.9502297015
87	0.2386986126	0.950430342
88	0.2382050938	0.9506351045
89	0.2376691817	0.9508569763
90	0.2373951055	0.9509702528
91	0.2369671747	0.9511468565
92	0.2366304085	0.9512856132
93	0.2363386876	0.9514056506
94	0.2359633811	0.951559864
95	0.2356124037	0.9517038587
96	0.2353857819	0.9517967206
97	0.235050111	0.9519341027
98	0.2347019495	0.9520763898
99	0.2343166955	0.9522335901
100	0.2340246329	0.9523525922
101	0.233723472	0.952475146
102	0.233312836	0.952641995
103	0.2329327186	0.9527961823
104	0.2326010691	0.9529305042
105	0.2321948731	0.9530947575
106	0.2318114377	0.9532495437
107	0.231622955	0.9533255371
108	0.2313968873	0.9534166027
109	0.2310535027	0.9535547563
110	0.2307960052	0.9536582203
111	0.230409574	0.9538132743
112	0.2300702978	0.9539491933
113	0.2297780882	0.9540660962
114	0.229515708	0.9541709388
115	0.2292699656	0.9542690246
116	0.2290296185	0.9543648552
117	0.2287690207	0.9544686466
118	0.228483996	0.9545820315
119	0.2281584288	0.9547113716
120	0.2279823784	0.9547812354
121	0.2278131015	0.9548483603
122	0.227568448	0.9549452869
123	0.2273511367	0.9550312938
124	0.2271139038	0.9551250913
125	0.2268993553	0.9552098356
126	0.2267625832	0.9552638172
127	0.2265272674	0.9553566162
128	0.226249347	0.9554660926
129	0.2258954338	0.955605309
130	0.2256092876	0.955717709
131	0.2253837389	0.9558062056
132	0.2251776557	0.9558869872
133	0.2249315273	0.9559833692
134	0.2247642127	0.9560488281
135	0.2245653564	0.9561265638
136	0.2242995045	0.9562303815
137	0.2240272549	0.9563365701
138	0.2238483083	0.9564062965
139	0.2236632475	0.9564783466
140	0.2234470516	0.9565624432
141	0.2232719512	0.9566304947
142	0.2231206419	0.956689257
143	0.22281718	0.956806989
144	0.2225580969	0.9569073769
145	0.2224616973	0.9569446994
146	0.222289186	0.9570114492
147	0.2220633195	0.9570987656
148	0.2218532572	0.9571798926
149	0.2216463513	0.9572597256
150	0.2213834065	0.9573610732
151	0.2212140103	0.9574263004
152	0.2210234259	0.9574996266
153	0.2208751252	0.9575566407
154	0.2206564001	0.9576406594
155	0.2204882046	0.9577052117
156	0.2203575731	0.9577553132
157	0.2200663638	0.9578668947
158	0.2198880882	0.9579351311
159	0.2197621982	0.9579832831
160	0.2194517807	0.9581018978
161	0.2192279311	0.9581873297
162	0.2190461165	0.9582566548
163	0.2188705783	0.9583235322
164	0.2186726314	0.9583988827
165	0.2185180705	0.9584576704
166	0.2183417181	0.9585246958
167	0.2181272361	0.95860614
168	0.2179506451	0.958673136
169	0.2177724936	0.9587406691
170	0.217576455	0.9588149189
171	0.2174396417	0.9588666974
172	0.2172498722	0.9589384639
173	0.2170953062	0.9589968709
174	0.2169876457	0.9590375288
175	0.2167934706	0.9591108079
176	0.2166385585	0.9591692227
177	0.216505716	0.9592192821
178	0.2163163176	0.9592906006
179	0.2161954172	0.9593360932
180	0.21603101	0.959397916
181	0.2159129328	0.9594422881
182	0.215757917	0.9595005044
183	0.2156162397	0.9595536749
184	0.2154702829	0.9596084149
185	0.2152747366	0.959681695
186	0.2150863335	0.9597522353
187	0.214936204	0.9598084012
188	0.2148137708	0.9598541765
189	0.2146641517	0.9599100807
190	0.2145145278	0.9599659477
191	0.2143321263	0.9600340006
192	0.2141877388	0.9600878296
193	0.2140588685	0.9601358431
194	0.2139749505	0.960167093
195	0.2137651918	0.9602451508
196	0.2137074636	0.9602666198
197	0.2135592684	0.9603217068
198	0.2134210026	0.9603730684
199	0.21330879	0.9604147276
200	0.2131689577	0.96046661
201	0.2130125907	0.9605245871
202	0.2128690975	0.9605777534
203	0.2127336624	0.9606279011
204	0.2126256054	0.9606678887
205	0.2124773905	0.960722704
206	0.212354379	0.9607681692
207	0.2121939288	0.9608274322
208	0.2120371916	0.9608852805
209	0.211853467	0.9609530349
210	0.2117242395	0.9610006565
211	0.211595695	0.9610479976
212	0.2114344324	0.9611073477
213	0.2113428812	0.9611410214
214	0.2112469882	0.9611762766
215	0.211099835	0.9612303464
216	0.2110714584	0.9612407687
217	0.2108925643	0.9613064418
218	0.2107401486	0.9613623506
219	0.2106280152	0.9614034574
220	0.2105082656	0.9614473319
221	0.2103916743	0.9614900254
222	0.2102117296	0.9615558711
223	0.2100343175	0.9616207351
224	0.2098936577	0.9616721229
225	0.2097697868	0.9617173488
226	0.2096471205	0.9617621085
227	0.2095395325	0.9618013447
228	0.2094010073	0.9618518338
229	0.2092561075	0.9619046105
230	0.2091327057	0.9619495283
231	0.2089875749	0.9620023213
232	0.2088943105	0.962036228
233	0.2087900352	0.9620741198
234	0.2087762014	0.9620791454
235	0.2086765693	0.9621153299
236	0.2086603948	0.9621212026
237	0.2085613391	0.9621571578
238	0.2084312348	0.9622043572
239	0.2083095032	0.9622484924
240	0.2082075058	0.9622854529
241	0.2080816205	0.9623310447
242	0.2079584066	0.9623756422
243	0.2078629127	0.9624101883
244	0.2077391901	0.9624549228
245	0.207646344	0.9624884758
246	0.2075715396	0.9625154979
247	0.2074963036	0.9625426661
248	0.2073992915	0.9625776833
249	0.2072954985	0.9626151299
250	0.2071836136	0.962655475
251	0.2070776365	0.9626936696
252	0.2069880545	0.9627259401
253	0.2069123301	0.9627532078
254	0.2068280077	0.9627835598
255	0.2066822303	0.9628360034
256	0.2065217436	0.9628936959
257	0.2064259664	0.962928105
258	0.2063064699	0.9629710132
259	0.2062122893	0.9630048135
260	0.2061167188	0.9630390969
261	0.20602063	0.9630735502
262	0.2059213729	0.9631091227
263	0.2058141108	0.9631475448
264	0.2057044032	0.9631868221
265	0.2056013617	0.9632236938
266	0.2055344121	0.9632476407
267	0.205528418	0.9632497843
268	0.2054522772	0.9632770086
269	0.2053429117	0.9633160946
270	0.2052595224	0.963345883
271	0.2051688949	0.9633782434
272	0.2050522636	0.9634198679
273	0.2049731607	0.9634480855
274	0.2048750678	0.963483062
275	0.2047970604	0.9635108648
276	0.2046822593	0.9635517621
277	0.2046020353	0.9635803278
278	0.2045107213	0.9636128288
279	0.2043762355	0.9636606693
280	0.2042784298	0.9636954419
281	0.2041760013	0.9637318402
282	0.2040541017	0.9637751337
283	0.2039492194	0.9638123628
284	0.2038831437	0.9638358072
285	0.2038034078	0.9638640883
286	0.2037288127	0.963890536
287	0.2036169829	0.9639301672
288	0.2034855848	0.9639767053
289	0.2034712617	0.9639817765
290	0.2033862269	0.9640118757
291	0.203302624	0.9640414557
292	0.2032156189	0.9640722267
293	0.203122912	0.9641049997
294	0.2030429569	0.9641332528
295	0.202966255	0.9641603459
296	0.202902835	0.9641827397
297	0.202838195	0.9642055571
298	0.2027499059	0.9642367107
299	0.2026438342	0.9642741211
300	0.2025854548	0.9642947026
301	0.2025028654	0.9643238091
302	0.2024369013	0.964347048
303	0.2023499732	0.9643776607
304	0.2023305175	0.9643845105
305	0.2022486323	0.9644133326
306	0.2021892258	0.9644342352
307	0.2021828568	0.9644364759
308	0.202101979	0.9644649226
309	0.2020146939	0.9644956102
310	0.201879371	0.9645431607
311	0.2017959577	0.964572455
312	0.2017840867	0.9645766231
313	0.2017045221	0.9646045529
314	0.2016307141	0.964630452
315	0.2015515174	0.9646582315
316	0.2014769402	0.9646843807
317	0.2014136238	0.9647065739
318	0.2013357248	0.9647338689
319	0.2012725362	0.9647560017
320	0.2012040699	0.9647799753
321	0.2010935322	0.9648186632
322	0.2009992362	0.9648516496
323	0.2009103308	0.9648827361
324	0.2008274357	0.9649117088
325	0.2007323245	0.9649449363
326	0.2006430363	0.9649761152
327	0.2005720596	0.9650008899
328	0.2004964357	0.9650272772
329	0.2004304008	0.9650503104
330	0.2003885704	0.9650648971
331	0.2003343015	0.9650838166
332	0.2002714157	0.9651057339
333	0.2001843305	0.9651360739
334	0.2000770485	0.9651734321
335	0.1999905479	0.9652035392
336	0.1999016324	0.9652344732
337	0.1998259248	0.9652608013
338	0.1996998954	0.9653046073
339	0.1996150603	0.9653340791
340	0.1995480107	0.9653573634
341	0.199447712	0.9653921794
342	0.1993733112	0.9654179944
343	0.1992845728	0.9654487715
344	0.1992127196	0.9654736823
345	0.1991246139	0.9655042155
346	0.1991210261	0.9655054585
347	0.1990363213	0.9655347998
348	0.1989445441	0.9655665768
349	0.1988909226	0.965585136
350	0.1988285569	0.9656067154
351	0.1987514847	0.965633374
352	0.1986675075	0.9656624093
353	0.1985990142	0.9656860819
354	0.1985329116	0.9657089205
355	0.1984382941	0.9657415978
356	0.1983510202	0.9657717252
357	0.1982586615	0.9658035934
358	0.1982448816	0.9658083468
359	0.1981583781	0.9658381791
360	0.1981067331	0.9658559836
361	0.1980519893	0.9658748514
362	0.1979675485	0.9659039442
363	0.1979298553	0.9659169268
364	0.1978705112	0.9659373615
365	0.1978041041	0.9659602212
366	0.1977175393	0.9659900082
367	0.1976133906	0.9660258287
368	0.1975275789	0.9660553282
369	0.1974356427	0.9660869189
370	0.1973855777	0.9661041158
371	0.1973206211	0.9661264214
372	0.1972316399	0.9661569649
373	0.1971619109	0.9661808903
374	0.1970915207	0.966205034
375	0.1970229586	0.9662285424
376	0.196968531	0.9662471985
377	0.1968896957	0.9662742118
378	0.196833875	0.9662933324
379	0.1967490022	0.9663223941
380	0.1966806149	0.9663458018
381	0.1966556737	0.9663543367
382	0.1965903963	0.9663766695
383	0.1965233801	0.9663995895
384	0.1964519322	0.9664240165
385	0.1963925412	0.9664443147
386	0.1963213567	0.9664686355
387	0.1962433606	0.9664952734
388	0.1962123065	0.9665058763
389	0.196167304	0.9665212388
390	0.1960884	0.9665481655
391	0.1960400676	0.9665646541
392	0.1959897769	0.9665818064
393	0.1959267113	0.9666033096
394	0.195846371	0.9666306928
395	0.1957926202	0.966649007
396	0.1957431627	0.9666658538
397	0.1956678738	0.9666914916
398	0.1956137441	0.966709918
399	0.1955507084	0.9667313698
400	0.1954828628	0.9667544506
401	0.1954061764	0.9667805294
402	0.1953413728	0.9668025593
403	0.1952402235	0.9668369302
404	0.1951998763	0.9668506353
405	0.1951455156	0.9668690961
406	0.1951106092	0.9668809475
407	0.1950305166	0.9669081326
408	0.1949349014	0.9669405717
409	0.1948542328	0.9669679276
410	0.1947916001	0.9669891594
411	0.1947721771	0.9669957422
412	0.1947214116	0.9670129445
413	0.1946389672	0.9670408718
414	0.1945822972	0.9670600614
415	0.1945397224	0.9670744744
416	0.1944856704	0.9670927682
417	0.1944289393	0.9671119634
418	0.1944050857	0.9671200327
419	0.194354264	0.9671372215
420	0.1942942	0.9671575304
421	0.1942328999	0.9671782509
422	0.1941439487	0.9672083062
423	0.1941106669	0.9672195481
424	0.194045317	0.9672416163
425	0.193992909	0.9672593088
426	0.1939411384	0.9672767814
427	0.1938809355	0.967297094
428	0.1938061304	0.9673223246
429	0.1937503056	0.9673411472
430	0.1936987546	0.9673585239
431	0.1936558453	0.9673729842
432	0.193561582	0.9674047393
433	0.1934776158	0.9674330125
434	0.1934205823	0.9674522099
435	0.1933498283	0.9674760178
436	0.193311416	0.9674889394
437	0.1932687262	0.967503297
438	0.1931908839	0.9675294689
439	0.1931314869	0.9675494321
440	0.1930692374	0.9675703475
441	0.1929867596	0.967598049
442	0.1929186909	0.967620902
443	0.1928213179	0.9676535796
444	0.1927633144	0.9676730372
445	0.192724141	0.9676861749
446	0.1926692941	0.9677045645
447	0.1926373162	0.9677152839
448	0.1925990093	0.9677281226
449	0.1925256936	0.9677526875
450	0.1924902114	0.9677645727
451	0.1924199445	0.9677881029
452	0.1923241005	0.9678201843
453	0.1922503304	0.9678448661
454	0.1921986609	0.9678621479
455	0.1921462139	0.967879685
456	0.1920662054	0.9679064288
457	0.1920027494	0.9679276319
458	0.1919416684	0.9679480347
459	0.191855745	0.9679767246
460	0.1917941428	0.9679972858
461	0.191732717	0.9680177815
462	0.1917000577	0.9680286761
463	0.1916002971	0.9680619431
464	0.1915716415	0.9680714957
465	0.1915052719	0.968093615
466	0.1914510597	0.9681116768
467	0.1913889471	0.9681323646
468	0.1913510278	0.968144991
469	0.1912406069	0.9681817449
470	0.1911871262	0.9681995384
471	0.1911291144	0.9682188339
472	0.1910656441	0.9682399382
473	0.1910097627	0.9682585134
474	0.1909695473	0.9682718777
475	0.1908921175	0.9682976013
476	0.1908213097	0.9683211157
477	0.1907858732	0.9683328805
478	0.1907288879	0.9683517948
479	0.1906731917	0.9683702757
480	0.1906347013	0.9683830444
481	0.1905820356	0.9684005113
482	0.19052813	0.9684183844
483	0.1904761819	0.9684356037
484	0.1904201523	0.9684541707
485	0.1903636984	0.9684728727
486	0.1902721511	0.9685031886
487	0.1901978569	0.9685277805
488	0.190138515	0.9685474162
489	0.1900833071	0.9685656784
490	0.1899931772	0.9685954812
491	0.1899687857	0.9686035441
492	0.1899143477	0.9686215357
493	0.1898619287	0.9686388551
494	0.1898139792	0.9686546935
495	0.1897811835	0.9686655242
496	0.1897278605	0.9686831298
497	0.1896806755	0.9686987048
498	0.1896461773	0.9687100896
499	0.1896166577	0.9687198298
