id,num_of_stops,total_distance,shortName,type,From,To
BKK_0540,33.0,16722.0,54,BUS,"Péterimajor, Víztorony tér",Boráros tér H
BKK_VP50,7.0,3093.0,50,BUS,Lajosmizsei sorompó,Határ út M
BKK_3020,12.0,6070.0,2,TRAM,Jászai Mari tér,Közvágóhíd H
BKK_2361,28.0,11019.0,236A,BUS,Havanna utcai lakótelep,"Ganztelep, Mednyánszky u."
BKK_1231,20.0,8834.0,123A,BUS,Szentlőrinci úti ltp.,Határ út M
BKK_3560,36.0,17130.0,56,TRAM,Városház tér,Hűvösvölgy
BKK_3490,11.0,5394.0,49,TRAM,Kelenföld vasútállomás M,Deák Ferenc tér M
BKK_3610,25.0,11078.0,61,TRAM,Móricz Zs. körtér M,Hűvösvölgy
BKK_2234,20.0,11978.0,223M,BUS,Boráros tér H,Szentlőrinci úti ltp.
BKK_0980,36.0,15535.0,98,BUS,Rákoscsaba vasútállomás,Kőbánya-Kispest M
BKK_3190,24.0,11258.0,19,TRAM,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
BKK_2360,31.0,12911.0,236,BUS,Havanna utcai lakótelep,Market Central Ferihegy
BKK_0205,21.0,13382.0,20E,BUS,Keleti pályaudvar M,"Káp.megyer, Szilas-patak"
BKK_3014,19.0,11204.0,1M,TRAM,Népliget M,Bécsi út / Vörösvári út
BKK_2980,7.0,2783.0,298,BUS,Zimonyi utca,Rákoscsaba vasútállomás
BKK_1335,38.0,26796.0,133E,BUS,"Újpalota, Nyírpalota út","Nagytétény, Erdélyi utca"
BKK_0270,11.0,3725.0,27,BUS,Citadella - Sánc utca,Móricz Zs. körtér M
BKK_3010,31.0,18178.0,1,TRAM,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
BKK_1365,8.0,5321.0,136E,BUS,Havanna utcai lakótelep,Kőbánya-Kispest M
BKK_3590,16.0,6476.0,59,TRAM,Márton Áron tér,Szent János Kórház
BKK_0881,35.0,16845.0,88A,BUS,"Törökbálint, Márta utca",Kelenföld vasútállomás M
BKK_0402,16.0,7601.0,40B,BUS,Budaörsi lakótelep,Kelenföld vasútállomás M
BKK_3120,10.0,4689.0,12,TRAM,"Rákospalota, Kossuth utca",Angyalföld kocsiszín
BKK_0211,16.0,6998.0,21A,BUS,Széll Kálmán tér M,Normafa
BKK_3140,24.0,11109.0,14,TRAM,"Káp.megyer, Megyeri út",Lehel tér M
BKK_0670,21.0,11444.0,67,BUS,"Rákoskeresztúr, Aranylúd u.",Örs vezér tere M H
BKK_3030,31.0,13502.0,3,TRAM,Mexikói út M,Gubacsi út / Határ út
BKK_2170,23.0,9532.0,217,BUS,Szarvas csárda tér,Kőbánya alsó vasútáll.
BKK_2770,27.0,11956.0,277,BUS,Bosnyák tér,Örs vezér tere M H
BKK_1620,39.0,20841.0,162,BUS,"Maglód, Auchan áruház",Kőbánya alsó vasútáll.
BKK_1621,23.0,10816.0,162A,BUS,"Rákoskeresztúr, városkp.",Kőbánya alsó vasútáll.
BKK_1740,16.0,7811.0,174,BUS,Cinkota H,Örs vezér tere M H
BKK_0985,21.0,10920.0,98E,BUS,Rákoshegy vasútállomás,Kőbánya-Kispest M
BKK_1120,30.0,12421.0,112,BUS,Bosnyák tér,Thomán István utca
BKK_1750,15.0,6758.0,175,BUS,Cinkota H,"Újpalota, Szentmihályi út"
BKK_1611,19.0,9925.0,161A,BUS,"R.keresztúr, Kis utcai ltp.",Örs vezér tere M H
BKK_0680,29.0,12240.0,68,BUS,"Akadémiaújtelep, 525. tér",Vas Gereben utca
BKK_1440,15.0,6691.0,144,BUS,"R.szentmihály, Csömöri út",Örs vezér tere M H
BKK_1765,28.0,15205.0,176E,BUS,"R.csaba-Újtelep, Tóalmás u.",Örs vezér tere M H
BKK_0920,24.0,11875.0,92,BUS,Kistarcsa - Auchan Liget,Rákosszentmihály vasútáll.
BKK_1510,35.0,16512.0,151,BUS,Kőbánya alsó vasútáll.,"Csepel, Határ utca"
BKK_0360,43.0,19508.0,36,BUS,"Csepel, Csillagtelep",Pestszentlőrinc vasútáll.
BKK_0330,29.0,16150.0,33,BUS,"Nagytétény, ipartelep",Móricz Zs. körtér M
BKK_1944,8.0,7041.0,194M,BUS,Gloriett lakótelep,Határ út M
BKK_2310,28.0,12599.0,231,BUS,"R.palota, Széchenyi tér",Örs vezér tere M H
BKK_H8,18.0,23111.0,H8,SUBURBAN_RAILWAY,Gödöllő,Örs vezér tere
BKK_1480,38.0,17690.0,148,BUS,"Csepel, Soroksári rév",Kőbánya-Kispest M
BKK_H7,6.0,6471.0,H7,SUBURBAN_RAILWAY,Csepel,Boráros tér
BKK_H6,21.0,40115.0,H6,SUBURBAN_RAILWAY,Ráckeve,Közvágóhíd
BKK_2500,25.0,11573.0,250,BUS,Savoya Park,Kelenföld vasútállomás M
BKK_1390,16.0,8242.0,139,BUS,Széll Kálmán tér M,Gazdagréti tér
BKK_0530,18.0,7341.0,53,BUS,Mindszenty J. bíboros tér,Móricz Zs. körtér M
BKK_1500,39.0,17695.0,150,BUS,Budatétény vá. (Campona),Móricz Zs. körtér M
BKK_0085,41.0,20726.0,8E,BUS,"Újpalota, Nyírpalota út",Kelenföld vasútállomás M
BKK_0665,14.0,13936.0,66E,BUS,"Soroksár, BILK",Határ út M
BKK_1005,3.0,20789.0,100E,BUS,Liszt Ferenc Airport 2,Deák Ferenc tér M
BKK_2502,24.0,10490.0,250B,BUS,Savoyai J. tér (Törley tér),Kelenföld vasútállomás M
BKK_0161,5.0,1417.0,16A,BUS,Dísz tér,Széll Kálmán tér M
BKK_0160,9.0,3813.0,16,BUS,Clark Ádám tér,Széll Kálmán tér M
BKK_1140,32.0,14101.0,114,BUS,"Baross G.-telep, Ispiláng u.",Móricz Zs. körtér M
BKK_1910,7.0,3365.0,191,BUS,Sarolta utca,Nyugati pályaudvar M
BKK_VP60,4.0,1953.0,60,BUS,Széchenyi-hegy,Svábhegy
BKK_1410,18.0,13388.0,141,BUS,Savoya Park,Kelenföld vasútállomás M
BKK_1540,23.0,10055.0,154,BUS,Infopark - BudaPart,Gazdagréti tér
BKK_3500,13.0,5366.0,50,TRAM,"Pestszentlőrinc, Béke tér",Villanytelep
BKK_1380,20.0,14049.0,138,BUS,Budatétény vá. (Campona),"Csepel, Szent Imre tér"
BKK_1160,8.0,2079.0,116,BUS,Dísz tér,Fény utcai piac
BKK_1840,25.0,11259.0,184,BUS,"Pestszentimre, Benjámin u.",Kőbánya-Kispest M
BKK_0710,30.0,13166.0,71,BUS,Szentmiklósi út,Szent Imre tér
BKK_1340,20.0,9885.0,134,BUS,"B.megyer, Újmegyeri tér",Szentlélek tér H
BKK_1530,37.0,15689.0,153,BUS,Infopark,Gazdagréti tér
BKK_0950,21.0,10170.0,95,BUS,Felsőcsatári köz,Puskás Ferenc Stadion M
BKK_1810,17.0,5172.0,181,BUS,Ecseri út M - József A. ltp.,Ecseri út M - Aszódi utca
BKK_0070,39.0,17395.0,7,BUS,"Újpalota, Nyírpalota út",Albertfalva vasútállomás
BKK_1090,12.0,5399.0,109,BUS,Batthyány tér M H,"Óbuda, Bogdáni út"
BKK_1280,11.0,3857.0,128,BUS,Regőczi István tér,Széll Kálmán tér M
BKK_1600,25.0,10341.0,160,BUS,Békásmegyer H,Óbudai rendelőintézet
BKK_1490,11.0,3202.0,149,BUS,Fenyves utca,Széll Kálmán tér M
BKK_0390,10.0,3759.0,39,BUS,Goldmark Károly utca,Batthyány tér M H
BKK_0350,30.0,11721.0,35,BUS,"Csepel, Csillagtelep",Szentlőrinci úti ltp.
BKK_1820,26.0,10913.0,182,BUS,Alacskai úti lakótelep,Kőbánya-Kispest M
BKK_0450,23.0,10314.0,45,BUS,"Cinkota, Lassú utca",Örs vezér tere M H
BKK_2440,13.0,6631.0,244,BUS,Centenáriumi lakótelep,Örs vezér tere M H
BKK_0440,16.0,7943.0,44,BUS,Centenáriumi lakótelep,Örs vezér tere M H
BKK_2250,14.0,10376.0,225,BUS,"R.palota, Székely Elek út",Mexikói út M
BKK_2765,25.0,13826.0,276E,BUS,"R.csaba-Újtelep, Naplás út",Örs vezér tere M H
BKK_1650,5.0,1655.0,165,BUS,Remetehegyi út,Kolosy tér
BKK_1550,17.0,5067.0,155,BUS,Fácános tér,Széll Kálmán tér M
BKK_1370,16.0,6156.0,137,BUS,Erdőalja út-Máramaros út,Szentlélek tér H
BKK_2845,18.0,12612.0,284E,BUS,"Pestszentimre, Benjámin u.",Kőbánya-Kispest M
BKK_2370,14.0,4351.0,237,BUS,Jablonka út,Szentlélek tér H
BKK_0650,10.0,4460.0,65,BUS,Szépvölgyi dűlő,Kolosy tér
BKK_1085,32.0,19589.0,108E,BUS,"Újpalota, Nyírpalota út",Gazdagréti tér
BKK_0090,32.0,15331.0,9,BUS,Kőbánya alsó vasútáll.,"Óbuda, Bogdáni út"
BKK_0975,19.0,16568.0,97E,BUS,Rákoskert sugárút,Örs vezér tere M H
BKK_0320,19.0,9442.0,32,BUS,Göncz Árpád városkp. M,Örs vezér tere M H
BKK_1610,31.0,15775.0,161,BUS,Rákoscsaba,Örs vezér tere M H
BKK_1615,17.0,15556.0,161E,BUS,Rákoscsaba,Örs vezér tere M H
BKK_MP53,8.0,6146.0,M3,BUS,Lehel tér M,Nagyvárad tér M
BKK_0221,21.0,9984.0,22A,BUS,"Budakeszi, Dózsa Gy. tér",Széll Kálmán tér M
BKK_2720,13.0,14481.0,272,BUS,"Törökbálint, Márta utca",Kelenföld vasútállomás M
BKK_1885,22.0,19050.0,188E,BUS,Honfoglalás sétány,Kelenföld vasútállomás M
BKK_2025,20.0,15554.0,202E,BUS,Kucorgó tér,Kőbánya-Kispest M
BKK_3024,19.0,9400.0,2M,TRAM,Jászai Mari tér,Keleti pályaudvar M
BKK_0130,32.0,13894.0,13,BUS,"Diósd, Búzavirág u.",Budatétény vá. (Campona)
BKK_1685,21.0,14360.0,168E,BUS,"Rákoshegy, Ferihegyi út",Örs vezér tere M H
BKK_2220,22.0,10690.0,222,BUS,"Budakeszi, Honfoglalás sét.",Széll Kálmán tér M
BKK_1720,19.0,15851.0,172,BUS,Kelenföld vasútállomás M,Törökbálint vasútállomás
BKK_2175,19.0,13105.0,217E,BUS,Szarvas csárda tér,Blaha Lujza tér M
BKK_0855,9.0,8001.0,85E,BUS,Kőbánya-Kispest M,Örs vezér tere M H
BKK_0075,8.0,8478.0,7E,BUS,"Újpalota, Nyírpalota út",Blaha Lujza tér M
BKK_0300,38.0,16746.0,30,BUS,Keleti pályaudvar M,"Káp.megyer, Mogyoródi-p."
BKK_1730,18.0,15493.0,173,BUS,Kelenföld vasútállomás M,Törökbálint vasútállomás
BKK_2870,30.0,12853.0,287,BUS,Budatétény vá. (Campona),Budaörsi lakótelep
BKK_0381,19.0,9862.0,38A,BUS,"Lakihegy, Cseresznyés utca","Csepel, Szent Imre tér"
BKK_0945,14.0,15071.0,94E,BUS,"Gyál, Vecsési út",Határ út M
BKK_0895,24.0,16922.0,89E,BUS,"Gyál, Bem József utca",Határ út M
BKK_0550,42.0,20699.0,55,BUS,"Gyál, Vecsési út",Boráros tér H
BKK_2790,10.0,6526.0,279,BUS,Massányi úti lakópark,Auchan Sziget áruház
BKK_0845,24.0,15541.0,84E,BUS,"Gyál, Deák Ferenc utca",Határ út M
BKK_1695,26.0,20426.0,169E,BUS,"Pécel, Kun József utca",Örs vezér tere M H
BKK_0850,18.0,8075.0,85,BUS,Kőbánya-Kispest M,Örs vezér tere M H
BKK_2130,33.0,14647.0,213,BUS,Donát-hegy,Móricz Zs. körtér M
BKK_2544,11.0,16678.0,254M,BUS,Alacskai úti lakótelep,Boráros tér H
BKK_2140,31.0,14201.0,214,BUS,"Baross G.-telep, Ispiláng u.",Móricz Zs. körtér M
BKK_1012,15.0,10875.0,101B,BUS,Baross Gábor-telep,Kelenföld vasútállomás M
BKK_0301,30.0,13133.0,30A,BUS,Keleti pályaudvar M,"Megyer, Szondi utca"
BKK_1980,49.0,20821.0,198,BUS,"R.csaba-Újtelep, Tóalmás u.",Dél-pesti autóbuszgarázs
BKK_0310,15.0,8351.0,31,BUS,"Árpádföld, Bekecs utca",Örs vezér tere M H
BKK_1105,15.0,9344.0,110E,BUS,Bosnyák tér,Apor Vilmos tér
BKK_1560,10.0,3029.0,156,BUS,Dániel út,Széll Kálmán tér M
BKK_0050,46.0,19248.0,5,BUS,"Rákospalota, Kossuth utca",Pasaréti tér
BKK_1150,29.0,11406.0,115,BUS,Göncz Árpád városkp. M,Boráros tér H
BKK_0290,27.0,10389.0,29,BUS,Hűvösvölgy,Szentlélek tér H
BKK_1180,18.0,6339.0,118,BUS,Óbudai autóbuszgarázs,Szentlélek tér H
BKK_1870,13.0,7664.0,187,BUS,Kamaraerdő,Kelenföld vasútállomás M
BKK_1100,30.0,12421.0,110,BUS,Bosnyák tér,Thomán István utca
BKK_1050,32.0,14717.0,105,BUS,Gyöngyösi utca M,Apor Vilmos tér
BKK_0990,31.0,12958.0,99,BUS,Mátyás király tér,Blaha Lujza tér M
BKK_1220,13.0,6647.0,122,BUS,"Káp.megyer, Mogyoródi-p.",Újpest-városkapu M
BKK_1300,27.0,12105.0,130,BUS,"Újpalota, Sárfű utca",Puskás Ferenc Stadion M
BKK_0150,28.0,12422.0,15,BUS,Gyöngyösi utca M,Boráros tér H
BKK_0870,18.0,8879.0,87,BUS,Mechanikai Művek,Kelenföld vasútállomás M
BKK_1580,14.0,6484.0,158,BUS,Savoya Park,Jégmadár utca
BKK_4750,19.0,7777.0,75,TROLLEYBUS,Jászai Mari tér,Puskás Ferenc Stadion M
BKK_4800,21.0,8079.0,80,TROLLEYBUS,Keleti pályaudvar M,Örs vezér tere M H
BKK_4820,19.0,7773.0,82,TROLLEYBUS,Uzsoki Utcai Kórház,Örs vezér tere M H
BKK_4760,14.0,4774.0,76,TROLLEYBUS,Jászai Mari tér,Keleti pályaudvar M
BKK_1780,30.0,14061.0,178,BUS,Gyöngyösi utca M,Naphegy tér
BKK_4780,11.0,3714.0,78,TROLLEYBUS,Kossuth Lajos tér M,Keleti pu. M (Garay utca)
BKK_4794,17.0,6817.0,79M,TROLLEYBUS,Dagály utcai lakótelep,Keleti pályaudvar M
BKK_4740,19.0,8049.0,74,TROLLEYBUS,Károly körút (Astoria M),Csáktornya park
BKK_4700,14.0,4724.0,70,TROLLEYBUS,Kossuth Lajos tér M,"Erzsébet k.né útja, alulj."
BKK_4770,18.0,7091.0,77,TROLLEYBUS,Öv utca / Egressy út,Puskás Ferenc Stadion M
BKK_4830,9.0,3160.0,83,TROLLEYBUS,Fővám tér M,Orczy tér
BKK_0960,29.0,12914.0,96,BUS,"Újpest, Fóti út","Újpalota, Szentmihályi út"
BKK_4724,26.0,10051.0,72M,TROLLEYBUS,Zugló vasútállomás,Orczy tér
BKK_2960,41.0,22820.0,296,BUS,"B.megyer, Újmegyeri tér","Újpalota, Szentmihályi út"
BKK_0930,26.0,11799.0,93,BUS,Szemeretelep vasútállomás,Kőbánya-Kispest M
BKK_1660,37.0,18550.0,166,BUS,Ferihegy vasútállomás,Gubacsi út / Határ út
BKK_1935,9.0,10715.0,193E,BUS,Market Central Ferihegy,Kőbánya-Kispest M
BKK_1821,15.0,5880.0,182A,BUS,Gilice tér (Varjú utca),Kőbánya-Kispest M
BKK_1950,34.0,16406.0,195,BUS,"Rákoskeresztúr, városkp.",Puskás Ferenc Stadion M
BKK_1350,22.0,14053.0,135,BUS,"Soroksár, IKEA áruház",Millenniumtelep H
