Síterep,Link,Régió,Parkoló,Hegytető,Sípályák hossza,Szintkülönbség,Liftek száma,Szezon eleje,Szezon vége,Távolság Budapesttől,Felnőtt napijegy ára,Húzólift,Kombilift,Kék,Piros,Fekete,Ülőlift,Kiskabinos lift,Nagykabinos lift,Vonat
Lachtal,https://sielok.hu/siterep/lachtal/,Stájerország,1600,2222,26.2,622.0,10,2021.12.04.,2022.04.18.,442.0,47.0,8,0,7.2,16.0,3.0,2,0,0,0
Lackenhof am Ötscher,https://sielok.hu/siterep/lackenhof/,Alsó-Ausztria,812,1426,15.5,614.0,8,2021.12.11.,2022.03.20.,405.0,43.5,5,0,5.3,6.6,3.6,3,0,0,0
Laterns - Gapfohl,https://sielok.hu/siterep/laterns/,Vorarlberg,1040,1785,27.0,745.0,5,2021.12.10.,2022.03.27.,886.0,40.0,3,0,8.0,15.0,4.0,2,0,0,0
Lermoos - Grubigstein,https://sielok.hu/siterep/lermoos-grubigstein/,Tirol,1004,2100,26.5,1096.0,8,2021.12.17.,2022.04.18.,747.0,52.0,1,0,14.4,10.2,1.9,4,3,0,0
Leutasch,https://sielok.hu/siterep/leutasch/,Tirol,1140,1363,8.0,223.0,3,2021.12.18.,2022.03.12.,754.0,32.0,2,0,3.0,3.0,2.0,1,0,0,0
Lienz - Hochstein,https://sielok.hu/siterep/lienz-hochstein/,Tirol,668,2023,16.0,1355.0,4,2021.12.25.,2022.03.13.,616.0,52.0,2,1,0.5,11.3,4.2,1,0,0,0
Lienz - Zettersfeld,https://sielok.hu/siterep/lienz-zettersfeld/,Tirol,1660,2278,21.0,618.0,6,2021.12.17.,2022.03.27.,615.0,52.0,2,0,7.9,11.5,1.6,3,1,0,0
Loferer Alm,https://sielok.hu/siterep/lofer/,Salzburg,640,1670,46.0,1030.0,10,2021.12.18.,2022.04.03.,587.0,47.0,5,0,32.0,12.0,2.0,3,2,0,0
Lunz am See - Maiszinken,https://sielok.hu/siterep/lunz/,Alsó-Ausztria,790,1030,4.5,240.0,2,,,402.0,21.0,2,0,2.0,2.0,0.5,0,0,0,0
Maria Neustift - Glasenberg,https://sielok.hu/siterep/maria-neustift-glasenberg/,Felső-Ausztria,780,971,4.0,191.0,1,,,412.0,15.0,1,0,3.0,1.0,0.0,0,0,0,0
Mariazell - Bürgeralpe,https://sielok.hu/siterep/mariazell/,Stájerország,851,1267,14.0,416.0,5,2021.12.10.,2022.03.20.,366.0,39.5,2,0,9.5,3.0,1.5,2,1,0,0
Maurach - Rofan,https://sielok.hu/siterep/maurach-rofan/,Tirol,980,1870,11.0,890.0,3,2021.12.18.,2022.04.03.,698.0,35.5,0,0,1.0,8.0,2.0,2,0,1,0
Mayrhofen - Zillertal,https://sielok.hu/siterep/mayrhofen-penken-ahorn-rastkogel-eggalm/,Tirol,630,2500,142.0,1870.0,44,2021.12.12.,2022.04.18.,719.0,59.5,17,1,44.0,66.0,32.0,17,7,2,0
Mieders - Serles,https://sielok.hu/siterep/mieders-serles/,Tirol,960,1674,5.7,714.0,5,2021.12.18.,2022.03.20.,736.0,37.5,4,0,2.2,3.5,0.0,0,1,0,0
Modriach,https://sielok.hu/siterep/modriach/,Stájerország,1000,1230,6.0,230.0,4,,,389.0,20.0,4,0,5.0,1.0,0.0,0,0,0,0
Mönichkirchen - Mariensee,https://sielok.hu/siterep/monichkirchen/,Alsó-Ausztria,865,1432,13.5,567.0,5,2021.12.08.,2022.03.20.,293.0,39.5,2,0,5.5,6.0,2.0,3,0,0,0
Mönichwald,https://sielok.hu/siterep/monichwald/,Stájerország,1000,1300,5.5,300.0,4,,,303.0,24.5,4,0,1.5,4.0,0.0,0,0,0,0
Nassfeld - Hermagor,https://sielok.hu/siterep/nassfeld/,Karintia,600,2002,110.0,1402.0,30,2021.12.11.,2022.04.18.,561.0,52.5,16,0,30.0,69.0,11.0,9,5,0,0
Nesselwängle,https://sielok.hu/siterep/nesselwangle/,Tirol,1150,1671,13.0,521.0,5,2021.12.18.,2022.03.20.,774.0,43.0,4,0,5.0,7.0,1.0,1,0,0,0
Neustift - Elfer,https://sielok.hu/siterep/neustift/,Tirol,981,2080,2.5,1099.0,3,2021.12.18.,2022.03.27.,745.0,34.5,2,0,2.5,0.0,0.0,0,1,0,0
Niederalpl - Mürzsteg,https://sielok.hu/siterep/niederalpl/,Stájerország,1220,1460,12.0,240.0,6,2021.12.08.,2022.03.06.,344.0,38.0,5,0,4.0,8.0,0.0,1,0,0,0
Nordkette - Innsbruck,https://sielok.hu/siterep/nordpark/,Tirol,860,2256,13.9,1396.0,6,2021.12.03.,2022.04.24.,726.0,40.0,1,0,0.5,13.0,0.4,2,0,2,1
Obdach - Rieseralm,https://sielok.hu/siterep/obdach-rieseralm/,Stájerország,1310,1520,12.0,210.0,5,,,432.0,30.0,5,0,4.0,6.0,2.0,0,0,0,0
Obergurgl - Hochgurgl,https://sielok.hu/siterep/obergurgl/,Tirol,1793,3030,112.2,1237.0,26,2021.12.12.,2022.04.24.,820.0,62.0,9,0,60.2,33.2,18.8,6,11,0,0
Obertauern,https://sielok.hu/siterep/obertauern/,Salzburg,1630,2313,100.0,683.0,26,2021.12.03.,2022.05.01.,517.0,50.0,6,2,61.0,35.0,4.0,17,1,0,0
Obsteig - Grünberg,https://sielok.hu/siterep/obsteig-gruenberg/,Tirol,1030,1102,1.3,72.0,5,2021.12.18.,2022.03.13.,771.0,19.5,5,0,1.0,0.3,0.0,0,0,0,0
Partenen - Silvretta Bielerhöhe,https://sielok.hu/siterep/partenen-silvretta-bielerhoehe/,Vorarlberg,1910,2030,2.0,120.0,2,2021.12.25.,2022.05.01.,884.0,35.5,1,0,2.0,0.0,0.0,0,0,1,0
Patscherkofel,https://sielok.hu/siterep/patscherkofel/,Tirol,1009,1965,19.0,956.0,5,2021.12.18.,2022.04.03.,731.0,41.0,4,0,5.0,10.0,4.0,0,1,0,0
Pertisau - Karwendel,https://sielok.hu/siterep/pertisau-karwendel/,Tirol,960,1560,12.0,600.0,7,2021.12.18.,2022.03.31.,702.0,31.0,6,0,6.0,6.0,0.0,0,1,0,0
Petzen,https://sielok.hu/siterep/petzen/,Karintia,650,1900,13.7,1250.0,6,2021.12.04.,2022.03.20.,432.0,36.0,4,0,7.2,5.9,0.6,1,1,0,0
Piesendorf - Erlebnisberg Nagelköpfel,https://sielok.hu/siterep/piesendorf-erlebnisberg/,Salzburg,785,900,2.0,115.0,3,2021.12.24.,2022.03.06.,591.0,19.5,3,0,0.5,1.5,0.0,0,0,0,0
Pitztal gleccser,https://sielok.hu/siterep/pitztaler-gletscher/,Tirol,2685,3440,21.0,755.0,7,2021.09.18.,2022.05.08.,818.0,53.0,3,0,4.0,16.0,1.0,1,2,0,1
Planneralm,https://sielok.hu/siterep/planneralm/,Stájerország,1600,2000,15.0,400.0,5,2021.12.04.,2022.04.18.,479.0,45.0,3,0,2.0,11.0,2.0,2,0,0,0
Postalm,https://sielok.hu/siterep/postalm/,Salzburg,1150,1450,8.0,300.0,4,2021.12.16.,2022.03.20.,541.0,39.0,3,0,5.0,2.0,1.0,1,0,0,0
Präbichl,https://sielok.hu/siterep/prabichl/,Stájerország,1100,1608,20.0,508.0,6,2021.12.04.,2022.03.27.,388.0,42.0,3,0,6.0,11.0,3.0,3,0,0,0
Prägraten am Großvenediger,https://sielok.hu/siterep/praegraten-am-grossvenediger/,Tirol,1312,1440,2.0,128.0,2,2021.12.18.,2022.03.27.,656.0,25.0,2,0,1.0,0.5,0.5,0,0,0,0
Puchberg am Schneeberg - Wunderwiese,https://sielok.hu/siterep/puchberg/,Alsó-Ausztria,810,1210,7.8,400.0,3,2021.12.25.,2022.03.06.,294.0,30.0,2,0,3.8,4.0,0.0,1,0,0,0
Puchenstuben,https://sielok.hu/siterep/puchenstuben/,Alsó-Ausztria,870,1150,3.5,280.0,2,2021.12.18.,2022.03.13.,365.0,21.5,2,0,2.0,1.5,0.0,0,0,0,0
Raggal - Marul,https://sielok.hu/siterep/raggal-marul/,Vorarlberg,980,1300,4.0,320.0,3,2021.12.10.,2022.03.13.,873.0,23.0,3,0,2.0,2.0,0.0,0,0,0,0
Ramsau - Rittisberg,https://sielok.hu/siterep/ramsau/,Stájerország,1035,1636,12.9,601.0,8,2021.12.04.,2022.03.27.,501.0,41.5,7,0,5.6,6.3,1.0,1,0,0,0
Rangger Köpfl,https://sielok.hu/siterep/rangger-kopfl/,Tirol,820,2000,13.0,1180.0,5,2021.12.10.,2022.03.20.,741.0,34.0,3,0,7.0,4.0,2.0,0,2,0,0
Rauris - Hochalmbahnen,https://sielok.hu/siterep/rauris/,Salzburg,950,2175,32.5,1225.0,10,2021.12.17.,2022.04.18.,576.0,47.0,6,0,15.0,12.5,5.0,1,3,0,0
Riefensberg - Hochlitten,https://sielok.hu/siterep/riefensberg-hochlitten/,Vorarlberg,1000,1200,3.0,200.0,4,2021.12.11.,2022.03.20.,841.0,29.5,4,0,1.0,2.0,0.0,0,0,0,0
Riesneralm,https://sielok.hu/siterep/riesneralm/,Stájerország,973,1820,32.2,847.0,7,2021.12.03.,2022.04.18.,479.0,45.0,4,0,20.2,9.0,3.0,3,0,0,0
Rifflsee,https://sielok.hu/siterep/rifflsee/,Tirol,1640,2800,19.0,1160.0,6,2021.12.16.,2022.04.18.,816.0,40.0,2,0,4.0,10.0,5.0,3,1,0,0
Rohr im Gebirge - Furtnerlifte,https://sielok.hu/siterep/rohr-im-gebirge-furtnerlifte/,Alsó-Ausztria,800,927,3.9,127.0,3,,,316.0,24.0,3,0,1.5,1.5,0.9,0,0,0,0
Saalbach Hinterglemm Leogang Fieberbrunn,https://sielok.hu/siterep/saalbach/,Salzburg,830,2096,270.0,1266.0,70,2021.12.04.,2022.04.18.,635.0,60.5,20,0,140.0,112.0,18.0,21,29,0,0
Salzstiegl,https://sielok.hu/siterep/salzstiegl/,Stájerország,1320,1710,12.0,390.0,7,2021.12.08.,2022.03.13.,405.0,36.0,7,0,6.0,4.0,2.0,0,0,0,0
Sandl - Viehberg,https://sielok.hu/siterep/sandl-viehberg/,Felső-Ausztria,950,1112,3.0,162.0,2,,,417.0,21.0,2,0,3.0,0.0,0.0,0,0,0,0
Schattwald - Zöblen im Tannheimertal,https://sielok.hu/siterep/schattwald/,Tirol,1090,1565,10.3,475.0,4,2021.12.21.,2022.04.10.,823.0,43.0,2,0,4.5,3.7,2.1,2,0,0,0
Schetteregg,https://sielok.hu/siterep/schetteregg/,Vorarlberg,1070,1325,11.0,255.0,8,2021.12.18.,2022.03.20.,878.0,36.5,7,0,4.0,6.0,1.0,1,0,0,0
Schladming 4 hegy,https://sielok.hu/siterep/schladming/,Stájerország,728,2015,123.0,1287.0,47,2021.11.26.,2022.04.18.,494.0,60.5,15,1,46.4,68.3,8.3,20,9,1,1
Schlick 2000 - Fulpmes,https://sielok.hu/siterep/schlick/,Tirol,1009,2240,22.0,1231.0,9,2021.12.03.,2022.04.18.,740.0,43.0,4,0,12.0,6.8,3.2,3,2,0,0
Schneeberg - Hagerlifte,https://sielok.hu/siterep/schneeberg-hagerlifte/,Tirol,800,1000,3.0,200.0,3,2021.12.11.,2022.03.20.,662.0,21.0,3,0,0.8,2.1,0.1,0,0,0,0
Schwarzenberg - Bödele,https://sielok.hu/siterep/schwarzenberg-boedele/,Vorarlberg,700,1467,25.0,767.0,12,2021.12.03.,2022.03.27.,889.0,36.5,11,0,9.0,12.0,4.0,1,0,0,0
Schwaz - Kellerjoch,https://sielok.hu/siterep/kellerjoch-schwaz/,Tirol,1352,1887,14.0,535.0,3,2021.12.17.,2022.03.27.,710.0,35.0,2,0,9.5,2.4,2.1,1,0,0,0
See,https://sielok.hu/siterep/see/,Tirol,1040,2456,41.0,1416.0,7,2021.12.17.,2022.04.22.,810.0,44.5,3,0,8.0,25.0,8.0,2,2,0,0
Semmering - Hirschenkogel,https://sielok.hu/siterep/semmering/,Alsó-Ausztria,985,1350,14.0,365.0,2,2021.12.04.,2022.03.27.,300.0,39.5,0,0,6.5,6.5,1.0,1,1,0,0
Semmering - Stuhleck,https://sielok.hu/siterep/stuhleck/,Stájerország,777,1774,26.0,997.0,11,2021.12.08.,2022.04.03.,305.0,49.0,7,0,20.0,6.0,0.0,4,0,0,0
Serfaus - Fiss - Ladis,https://sielok.hu/siterep/serfaus/,Tirol,1200,2828,186.0,1628.0,39,2021.12.12.,2022.04.24.,816.0,58.0,11,0,47.0,112.0,27.0,16,11,0,1
Silbertal - Kristberg,https://sielok.hu/siterep/silbertal-kristberg/,Vorarlberg,889,1589,7.1,700.0,4,2021.12.10.,2022.04.03.,872.0,40.5,3,0,1.8,1.2,4.1,0,0,1,0
Sillian - Hochpustertal,https://sielok.hu/siterep/sillian/,Tirol,1100,2407,21.7,1307.0,7,2021.12.17.,2022.04.03.,644.0,52.0,2,0,5.6,15.0,1.1,3,2,0,0
Silvretta Montafon,https://sielok.hu/siterep/silvretta/,Vorarlberg,700,2430,117.0,1730.0,36,2021.11.12.,2022.04.18.,874.0,59.0,8,0,62.0,45.0,10.0,18,8,2,0
Simonhöhe,https://sielok.hu/siterep/simonhohe/,Karintia,1042,1340,12.0,298.0,7,2021.12.08.,2022.02.27.,497.0,35.0,7,0,7.0,5.0,0.0,0,0,0,0
Ski Arena Seefeld - Mösern - Gschwandtkopf,https://sielok.hu/siterep/seefeld-reith-gschwandtkopf/,Tirol,1200,1500,6.1,300.0,11,2021.12.17.,2022.03.12.,748.0,44.5,10,0,6.1,0.0,0.0,1,0,0,0
Ski Arena Seefeld - Rosshütte & Härmelekopf,https://sielok.hu/siterep/seefeld-rosshuette/,Tirol,1230,2064,12.3,834.0,14,2021.12.17.,2022.04.03.,747.0,47.5,8,0,6.3,4.1,1.9,3,0,2,1
Ski Arlberg - St. Anton - Lech - Zürs - Warth,https://sielok.hu/siterep/ski-arlberg/,Tirol,1300,2811,302.0,1511.0,88,2021.12.13.,2022.04.24.,832.0,61.0,28,1,130.0,121.0,51.0,43,11,5,0
"Ski Juwel - Alpbachtal, Wildschönau",https://sielok.hu/siterep/skijuwel/,Tirol,830,2025,90.9,1195.0,46,2021.12.08.,2022.04.18.,693.0,52.5,31,0,25.1,53.1,12.7,7,8,0,0
SkiWelt Wilder Kaiser - Brixental,https://sielok.hu/siterep/skiwelt/,Tirol,620,1957,288.0,1337.0,90,2021.12.11.,2022.04.03.,626.0,57.0,39,1,126.0,127.0,35.0,34,16,0,0
Sommeralm - Pirstingerkogellift,https://sielok.hu/siterep/sommeralm/,Stájerország,1320,1424,2.0,104.0,1,2021.12.18.,2022.03.20.,327.0,20.0,1,0,0.5,1.0,0.5,0,0,0,0
Sonnenkopf - Klostertal,https://sielok.hu/siterep/sonnenkopf/,Vorarlberg,1000,2300,29.5,1300.0,9,2021.12.17.,2022.04.18.,839.0,46.0,4,0,12.8,15.9,0.8,4,1,0,0
St. Corona / Unternberg,https://sielok.hu/siterep/stcorona/,Alsó-Ausztria,840,1039,2.0,199.0,2,2021.12.11.,2022.03.20.,298.0,24.0,2,0,2.0,0.0,0.0,0,0,0,0
St. Georgen am Walde - Schorschi-Lifte,https://sielok.hu/siterep/st-georgen-am-walde-schorschi-lifte/,Felső-Ausztria,750,787,1.0,37.0,2,,,393.0,17.0,2,0,1.0,0.0,0.0,0,0,0,0
St. Jakob im Defereggental,https://sielok.hu/siterep/stjakob-defereggental/,Tirol,1400,2525,17.0,1125.0,7,2021.12.17.,2022.04.18.,655.0,52.0,4,0,4.7,11.1,1.2,2,1,0,0
St. Jakob im Walde,https://sielok.hu/siterep/stjakob/,Stájerország,1000,1200,4.0,200.0,4,2021.12.05.,2022.03.05.,308.0,24.5,4,0,1.0,3.0,0.0,0,0,0,0
St. Johann in Tirol,https://sielok.hu/siterep/st-johann-tirol/,Tirol,659,1604,42.0,945.0,16,2021.12.08.,2022.03.27.,613.0,49.5,7,0,15.5,23.0,3.5,5,4,0,0
St. Martin am Tennengebirge,https://sielok.hu/siterep/stmartin-tennengebirge/,Salzburg,1000,1200,5.0,200.0,4,,,526.0,23.0,4,0,3.0,2.0,0.0,0,0,0,0
Steinberg - Rofan,https://sielok.hu/siterep/steinberg-rofan/,Tirol,1050,1250,1.0,200.0,3,2021.12.24.,2022.03.31.,701.0,26.0,3,0,1.0,0.0,0.0,0,0,0,0
Sternstein,https://sielok.hu/siterep/sternstein/,Felső-Ausztria,814,1102,5.0,288.0,2,2021.12.08.,2022.03.20.,466.0,36.0,1,1,1.0,4.0,0.0,0,0,0,0
Stubai gleccser,https://sielok.hu/siterep/stubai/,Tirol,1697,3212,64.9,1515.0,26,2021.10.08.,2022.05.13.,762.0,53.5,14,0,22.0,15.0,27.9,7,5,0,0
Sölden - Ötztal,https://sielok.hu/siterep/solden/,Tirol,1350,3340,143.4,1990.0,32,2021.09.10.,2022.05.01.,809.0,64.0,9,0,69.5,46.6,27.3,14,8,0,1
Tannheim - Neunerköpfle,https://sielok.hu/siterep/tannheim/,Tirol,1110,1820,8.5,710.0,5,2021.12.17.,2022.04.08.,780.0,43.0,3,0,2.5,5.0,1.0,1,1,0,0
Tauplitz,https://sielok.hu/siterep/tauplitz/,Stájerország,896,1965,43.5,1069.0,17,2021.12.08.,2022.04.18.,467.0,45.0,12,0,18.5,19.0,6.0,4,1,0,0
Teichalm,https://sielok.hu/siterep/teichalm/,Stájerország,1200,1450,4.0,250.0,5,2021.12.11.,2022.03.13.,334.0,26.0,5,0,1.0,2.0,1.0,0,0,0,0
Tirolina - Haltjochlift,https://sielok.hu/siterep/hinterthierseetirolina-haltjochlift/,Tirol,852,1077,4.0,225.0,2,2021.12.17.,2022.03.13.,663.0,21.0,2,0,2.0,1.2,0.8,0,0,0,0
Turnau - Schwabenbergarena,https://sielok.hu/siterep/turnau/,Stájerország,800,1250,10.0,450.0,3,2021.12.03.,2022.03.13.,351.0,34.0,3,0,1.0,6.0,3.0,0,0,0,0
Turracher Höhe,https://sielok.hu/siterep/turrach/,Karintia,1400,2205,43.0,805.0,14,2021.12.08.,2022.05.01.,498.0,51.0,8,1,14.5,25.0,3.5,5,0,0,0
Unken - Heutal,https://sielok.hu/siterep/unken-heutal/,Salzburg,970,1531,11.0,561.0,4,2021.12.23.,2022.03.20.,588.0,31.0,4,0,6.0,5.0,0.0,0,0,0,0
Unterberg,https://sielok.hu/siterep/unterberg/,Alsó-Ausztria,710,1342,16.0,632.0,4,2021.12.25.,2022.03.06.,313.0,33.0,4,0,11.0,5.0,0.0,0,0,0,0
Unterbergen - Bodental,https://sielok.hu/siterep/unterbergen-bodental/,Karintia,1030,1200,2.0,170.0,2,2021.12.04.,2022.03.20.,528.0,23.5,2,0,1.0,1.0,0.0,0,0,0,0
Venet - Landeck - Zams - Fliess,https://sielok.hu/siterep/venet/,Tirol,780,2212,22.0,1432.0,7,2021.12.03.,2022.04.18.,796.0,42.0,3,0,6.0,15.0,1.0,3,0,1,0
Vent,https://sielok.hu/siterep/vent/,Tirol,1900,2646,15.0,746.0,4,2021.12.18.,2022.04.18.,827.0,39.5,2,0,5.0,10.0,0.0,2,0,0,0
Wald am Schoberpass,https://sielok.hu/siterep/schoberpass/,Stájerország,850,1200,12.0,350.0,4,,,407.0,27.0,4,0,4.0,5.0,3.0,0,0,0,0
Weinebene,https://sielok.hu/siterep/weinebene/,Karintia,1580,1886,22.0,306.0,8,2021.12.04.,2022.03.27.,417.0,32.0,8,0,8.0,12.0,2.0,0,0,0,0
Weissensee,https://sielok.hu/siterep/weissensee/,Karintia,930,1324,6.0,394.0,5,2021.12.11.,2022.03.06.,576.0,37.5,4,0,3.5,2.5,0.0,1,0,0,0
Weisssee - Uttendorf,https://sielok.hu/siterep/weisssee/,Salzburg,1482,2600,23.0,1118.0,8,2021.12.18.,2022.04.24.,617.0,40.0,4,0,6.0,15.0,2.0,2,2,0,0
Wenigzell,https://sielok.hu/siterep/wenigzell/,Stájerország,940,1140,2.0,200.0,3,,,309.0,23.5,3,0,2.0,0.0,0.0,0,0,0,0
Werfenweng,https://sielok.hu/siterep/werfenweng/,Salzburg,902,1834,29.0,932.0,9,2021.12.17.,2022.04.03.,543.0,44.0,5,0,13.0,15.0,1.0,2,2,0,0
Weyregg am Attersee - Wachtberglifte,https://sielok.hu/siterep/weyregg-am-attersee-wachtberglifte/,Felső-Ausztria,482,823,4.0,341.0,3,,,496.0,18.0,3,0,2.0,2.0,0.0,0,0,0,0
Wildkogel Arena - Neukirchen Bramberg,https://sielok.hu/siterep/wildkogel/,Salzburg,820,2150,75.0,1330.0,20,2021.12.17.,2022.04.22.,623.0,52.5,11,0,35.0,30.0,10.0,4,5,0,0
Winklmoosalm - Steinplatte,https://sielok.hu/siterep/steinplatte/,Tirol,740,1860,42.0,1120.0,14,2021.12.17.,2022.04.03.,597.0,50.0,3,0,18.0,22.0,2.0,9,2,0,0
Wurzeralm - Spital am Pyhrn,https://sielok.hu/siterep/wurzeralm/,Felső-Ausztria,810,1870,22.5,1060.0,8,2021.12.22.,2022.03.13.,455.0,48.0,5,0,10.5,10.0,2.0,2,0,0,1
Übersaxen - Gröllerkopf,https://sielok.hu/siterep/uebersaxen-groellerkopf/,Vorarlberg,1000,1200,3.0,200.0,2,2021.12.14.,2022.03.06.,883.0,22.0,2,0,1.5,1.5,0.0,0,0,0,0
Zahmer Kaiser - Durchholzen,https://sielok.hu/siterep/zahmerkaiser/,Tirol,600,1200,13.0,600.0,3,2021.12.24.,2022.03.13.,626.0,28.0,2,0,11.0,2.0,0.0,1,0,0,0
Zauchensee,https://sielok.hu/siterep/zauchensee/,Salzburg,1000,2176,45.0,1176.0,16,2021.12.04.,2022.04.24.,527.0,61.0,6,0,23.5,17.2,4.3,6,3,0,1
Zell am See - Schmittenhöhe,https://sielok.hu/siterep/zellamsee/,Salzburg,760,2000,77.0,1240.0,28,2021.12.08.,2022.04.18.,585.0,60.5,9,0,30.0,28.0,19.0,10,7,2,0
Zillertal Arena,https://sielok.hu/siterep/gerlos/,Tirol,580,2500,146.7,1920.0,52,2021.12.12.,2022.04.18.,710.0,59.5,18,0,49.0,87.0,10.7,20,13,1,0
Ötz - Hochötz,https://sielok.hu/siterep/hochotz/,Tirol,1410,2272,37.5,862.0,13,2021.12.11.,2022.04.18.,779.0,44.0,5,0,12.0,21.5,4.0,6,2,0,0
